created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,mention_username
Mon Oct 03 07:36:09 +0000 2022,1576838502834020352,Not gonna lie  Prabowo social media communication game is exquisite. https://t.co/bsmukyHpbC,359,194,2983,22531,en,222771300,1576838502834020352,ricosync,https://twitter.com/ricosync/status/1576838502834020352,https://pbs.twimg.com/media/FeIOF3fVIAEhW_3.png,"Bandung, Indonesia",
Fri May 06 08:29:46 +0000 2022,1522493814342320128,Sindir Prabowo  Mantan Presiden PKS: You Have Killed Your Golden Time https://t.co/64hmKx27xe,40,145,319,1919,en,990237626,1522493814342320128,rmol_id,https://twitter.com/rmol_id/status/1522493814342320128,,Indonesia,
Thu May 11 12:23:34 +0000 2023,1656636163627810820,pls tell me everything prabowo ever did wrong bc this post alone is gonna make me forgive him... like you're just glowing standing right there sir cheering the indo youth https://t.co/loleSAYWYb,1779,395,610,6285,en,330093264,1656636163627810820,youngindokid,https://twitter.com/youngindokid/status/1656636163627810820,https://pbs.twimg.com/media/Fv2NzmnaYAEgeR1.jpg,From the river to the sea,
Mon Feb 06 12:10:38 +0000 2023,1622568447837368321,"Old soldiers never die; they just fade away""   - Douglas MacArthur -  ____________  Sehat terus pak @prabowo 🇮🇩 https://t.co/XaIq4oGU3P""",12,32,130,579,en,1159689173340585984,1622568447837368321,__AnakKolong,https://twitter.com/__AnakKolong/status/1622568447837368321,https://pbs.twimg.com/ext_tw_video_thumb/1622567325093486592/pu/img/8cGkew46YLVTqEvw.jpg,Wherever you're not lookin',prabowo
Sat Jun 03 04:23:22 +0000 2023,1664850238572462081,Indonesian Minister of Defence Prabowo Subianto's suggestions for ending Russia-Ukraine War:  1. Immediate ceasefire  2. 🇷🇺🇺🇦 forces withdraw 15 km from their forward positions to create a demilitarized zone (DMZ)  3. Deploy UN observation&amp; monitoring force in the DMZ  #SLD23 https://t.co/WkEjTfRWb4,84,100,196,686,en,1123556466273570816,1664850238572462081,Jatosint,https://twitter.com/Jatosint/status/1664850238572462081,https://pbs.twimg.com/ext_tw_video_thumb/1664848573790588929/pu/img/PM10oO1_UmotecUP.jpg,Jakarta Capital Region,
Thu Sep 22 01:52:02 +0000 2022,1572765633351229440,IMMEASURABLE VIII  Agung Prabowo  2016 https://t.co/4bsjGGAVJn,1,0,93,454,en,4665265835,1572765633351229440,artistsofcolour,https://twitter.com/artistsofcolour/status/1572765633351229440,https://pbs.twimg.com/media/FdOWAgpXwAABzxo.jpg,,
Mon Oct 23 01:02:56 +0000 2023,1716258873928282311,Prabowo-Gibran https://t.co/CLGdTDFqan,56,57,607,3752,en,1501402215726346245,1716258873928282311,memelord_666666,https://twitter.com/memelord_666666/status/1716258873928282311,https://pbs.twimg.com/media/F9FgWPRbEAAipfm.jpg,Kings Landing,
Tue Jun 20 05:52:12 +0000 2023,1671033185449443328,Dear mr Prabowo lets make it happen because it will be very funny https://t.co/f2ufhB5SDR,35,71,152,978,en,1164725763637035008,1671033185449443328,gara_nam,https://twitter.com/gara_nam/status/1671033185449443328,https://pbs.twimg.com/media/FzCz0tDaQAALjgW.png,,
Sun Nov 20 13:47:12 +0000 2022,1594326496889700357,PH + BN coalition can take Indonesia's Jokowi &amp; Prabowo rivalry as example. They put their Nations first before their differences. See where it leads Indonesia now.,155,46,2511,5197,en,1301526428547084288,1594326496889700357,JackDuanis,https://twitter.com/JackDuanis/status/1594326496889700357,,,
Sun Oct 22 14:42:12 +0000 2023,1716102659554582544,Prabowo and Gibran right now: https://t.co/FtFn0FHvxt,18,23,174,884,en,1501402215726346245,1716102659554582544,memelord_666666,https://twitter.com/memelord_666666/status/1716102659554582544,https://pbs.twimg.com/ext_tw_video_thumb/1716102609914994688/pu/img/27xCm8Se5jEw1Nww.jpg,Kings Landing,
Sun Oct 09 13:55:36 +0000 2022,1579108321491300353,Prabowo The End for Pilpres 2024..,23,93,300,1696,en,2905814730,1579108321491300353,abu_waras,https://twitter.com/abu_waras/status/1579108321491300353,,"Bima Sakti, Bumi, Indonesia",
Sat Jun 11 17:53:23 +0000 2022,1535681617875947520,“China has been a great civilization; they’ve been leaders of Asia for many thousands of years […] We urge everybody to respect the rightful rise of China back to its position”. ~ Prabowo Subianto  Indonesia’s Defense Minister (11.06.2022)  Arabs share the same view of China. https://t.co/0kftXhMmlE,17,27,139,523,en,138494135,1535681617875947520,EbrahimHashem,https://twitter.com/EbrahimHashem/status/1535681617875947520,https://pbs.twimg.com/media/FU_WSXHXEAMq9Rr.jpg,People's Republic of China,
Fri May 12 15:49:05 +0000 2023,1657050269417627649,between ganjar  anies  and prabowo  who’s the lesser evil?,3442,873,880,10199,en,1491773717244182529,1657050269417627649,m4retha,https://twitter.com/m4retha/status/1657050269417627649,,jakarta,
Mon Jul 31 21:14:53 +0000 2023,1686123289230598147,prabowo haver https://t.co/IOiCIE7XVN,43,33,166,1441,en,1420760980733132806,1686123289230598147,yonforger,https://twitter.com/yonforger/status/1686123289230598147,https://pbs.twimg.com/media/F2ZQMYaaYAA5ciZ.jpg,,
Tue Aug 08 00:33:46 +0000 2023,1688710056463007745,The devil works hard  but Prabowo’s PR team work harder.   I have talked about Prabowo comms game on my stream  his team should not be underestimated because they KNEW how the game is played. https://t.co/MvYXNsMNVR,101,52,303,1385,en,1249662133916192768,1688710056463007745,tilehopper,https://twitter.com/tilehopper/status/1688710056463007745,https://pbs.twimg.com/media/F2-A2ANbYAAvoFp.png,In your phone,
Thu Mar 03 13:06:16 +0000 2022,1499370575940435976,@goal What a double standard from FIFPro  UEFA n FIFA. Where were they when this incident occured?? https://t.co/21EGupZ8Im,4,15,111,815,en,41799185,1499356859509133318,angga_s_prabowo,https://twitter.com/angga_s_prabowo/status/1499370575940435976,https://pbs.twimg.com/media/FM7Vl4GakAMCmuC.jpg,,goal
Tue Oct 24 13:33:08 +0000 2023,1716810052877860898,ALL IN PRABOWO GIBRAN ! https://t.co/oLWtxXFMMF,428,965,570,2444,en,88355198,1716810052877860898,FaldoMaldini,https://twitter.com/FaldoMaldini/status/1716810052877860898,https://pbs.twimg.com/media/F9NVo8ZbEAAjfWG.jpg,Indonesia,
Sat Jul 02 09:47:28 +0000 2022,1543169475431649280,Isn't Prabowo used to be Jokowi's rival during presidential race? Now he's a Jokowi's men and really show respect to his commander in chief   wow only in indonesia you can see that happen 👍👍👍,9,24,127,719,en,1301814206920941568,1543169475431649280,AlbrechtKesser1,https://twitter.com/AlbrechtKesser1/status/1543169475431649280,,,
Mon Nov 28 09:04:35 +0000 2022,1597154477009952769,@starfess prabowo sandi... prabowo sandi.... prabowo sandi..... Drop it yeah cross the line we're having fun tonight👁️👄👁️ https://t.co/kSgj5PfEGs,192,52,246,1325,en,1110777134476226560,1597150107790901248,jeon_g_c_han,https://twitter.com/jeon_g_c_han/status/1597154477009952769,https://pbs.twimg.com/media/Fio7iGJUoAEkiAM.jpg,she/her 🇮🇩,starfess
Sat Nov 04 01:43:17 +0000 2023,1720617679873044555,BREAKING: These doctors collapsed after a 48 hour surgery separating kader PSI lips from Prabowo’s ass. https://t.co/Tp1Xu04Oku,31,79,752,3202,en,499262326,1720617679873044555,andikamalreza,https://twitter.com/andikamalreza/status/1720617679873044555,https://pbs.twimg.com/media/F-Dcp0GWAAAT11W.jpg,"Depok, Indonesia",
Wed Jul 06 15:04:13 +0000 2022,1544698740258156546,My first @DegenToonz 🔥🔥 I heard they have a strong community? 👀  He's a degen. He loves dollar. And he is ready to jump on a world tour!! ❤  #NewProfilePic LFG!! https://t.co/0ivZ3pypXe,0,47,57,183,en,213401246,1544698740258156546,Reilly_Prabowo,https://twitter.com/Reilly_Prabowo/status/1544698740258156546,https://pbs.twimg.com/media/FW_fUO0akAA4q81.jpg,Space,DegenToonz
Mon Oct 16 10:54:54 +0000 2023,1713871130657013906,Prabowo now has the opportunity to do the funniest thing ever..  Ga jadi milih Gibran 😂,230,153,896,4861,en,76984137,1713871130657013906,rayestu,https://twitter.com/rayestu/status/1713871130657013906,,,
Tue Nov 14 14:18:27 +0000 2023,1724431606234992834,Prabowo Vs Anies Vs Ganjar. The Epic Rap Battles of Presidency is back.  @JovialdaLopez as @prabowo  @AndovidaLopez as @aniesbaswedan  @kristoimmanuel as @ganjarpranowo https://t.co/8z8OTIjBXU,146,178,585,2233,en,732739909,1724431606234992834,AndovidaLopez,https://twitter.com/AndovidaLopez/status/1724431606234992834,https://pbs.twimg.com/ext_tw_video_thumb/1724431526715109376/pu/img/vf_110SiYs9Az9h4.jpg,Indonesia,"JovialdaLopez, prabowo, AndovidaLopez, aniesbaswedan, kristoimmanuel, ganjarpranowo"
Fri May 12 06:24:17 +0000 2023,1656908132214538242,prabowo's pr team has learned a lot from Japan to erase crimes against humanity allegations with babyfication,7,14,90,832,en,182144342,1656908132214538242,letih_berlari,https://twitter.com/letih_berlari/status/1656908132214538242,,frank's ocean,
Tue Sep 06 02:27:00 +0000 2022,1566976228246310913,I heard the @GodHatesNFTees have awesome community  and the founder @SrPetersETH is very active in this space. 👀  How is my Gym Queen with Fiat sign? #GodHatesNFTees @SrPetersLAB https://t.co/7JP5ZO1fv0,2,95,113,214,en,213401246,1566976228246310913,Reilly_Prabowo,https://twitter.com/Reilly_Prabowo/status/1566976228246310913,https://pbs.twimg.com/media/Fb8EkJdaQAATx-K.jpg,Space,"GodHatesNFTees, SrPetersETH, SrPetersLAB"
Wed May 24 01:33:22 +0000 2023,1661183577034293250,Indonesian presidential hopeful Prabowo’s cute IG rebrand paying dividends (among people too young to remember him being accused of forced disappearances and crimes against humanity) https://t.co/wwE0o0VvMq,14,15,189,761,en,2484673278,1661183577034293250,maxwalden_,https://twitter.com/maxwalden_/status/1661183577034293250,https://pbs.twimg.com/media/Fw21p6CaMAAqrNa.jpg,,
